年月日時,県,市,気温(℃),相対湿度(％),風速(m/s),風向,風向(°),降水量(mm),降水なし,雲量(10分比),日射量(MJ/㎡),現地気圧(hPa),日照時間(時間),日照現象なし,蒸気圧(hPa)
2024/1/1 1:00,愛知,名古屋,8.5,76,2.7,北北東,67.5,0,1,,0,1004.8,0,1,8.4
2024/1/1 2:00,愛知,名古屋,8.4,73,2.1,西北西,157.5,0,1,,0,1006.5,0,1,8
2024/1/1 3:00,愛知,名古屋,8.3,68,2,北北東,67.5,0,1,0,0,1007.6,0,1,7.4
2024/1/1 4:00,愛知,名古屋,7.3,74,4,北北西,112.5,0,1,,0,1008.7,0,1,7.6
2024/1/1 5:00,愛知,名古屋,6.6,76,3,北,90,0,1,,0,1009.9,0,1,7.4
2024/1/1 6:00,愛知,名古屋,6.9,71,2.8,北北西,112.5,0,1,0,0,1011.4,0,1,7.1
2024/1/1 7:00,愛知,名古屋,5.5,78,2.1,北北西,112.5,0,1,,0,1012.7,0,1,7
2024/1/1 8:00,愛知,名古屋,7,66,3.2,北北西,112.5,0,1,,0.22,1013.6,0.8,0,6.6
2024/1/1 9:00,愛知,名古屋,8.5,61,4.1,北北西,112.5,0,1,0+,0.82,1014.5,1,0,6.8
2024/1/1 10:00,愛知,名古屋,10.1,50,7,北北西,112.5,0,1,,1.41,1014.6,1,0,6.2
2024/1/1 11:00,愛知,名古屋,10.8,44,6,北北西,112.5,0,1,,1.84,1014.7,0.9,0,5.7
2024/1/1 12:00,愛知,名古屋,11.8,42,5.9,北北西,112.5,0,1,0+,2.05,1014.2,1,0,5.8
2024/1/1 13:00,愛知,名古屋,12,41,4.5,北北西,112.5,0,1,,2.03,1014.1,1,0,5.8
2024/1/1 14:00,愛知,名古屋,12.5,38,5.2,北西,135,0,1,,1.8,1014.1,1,0,5.5
2024/1/1 15:00,愛知,名古屋,12,39,5.6,北北西,112.5,0,1,0+,1.35,1014.1,1,0,5.5
2024/1/1 16:00,愛知,名古屋,11.2,35,4.3,北,90,0,1,,0.74,1015,1,0,4.7
2024/1/1 17:00,愛知,名古屋,10,41,4.1,北,90,0,1,,0.16,1015.9,0.6,0,5
2024/1/1 18:00,愛知,名古屋,8.3,50,4.8,北西,135,0,1,0+,0,1016.8,0,1,5.5
2024/1/1 19:00,愛知,名古屋,7.2,55,3.6,北北西,112.5,0,1,,0,1017.2,0,1,5.6
2024/1/1 20:00,愛知,名古屋,6.4,59,2.5,北北西,112.5,0,1,,0,1017.6,0,1,5.7
2024/1/1 21:00,愛知,名古屋,6.2,56,2.9,北北西,112.5,0,1,2,0,1017.7,0,1,5.3
2024/1/1 22:00,愛知,名古屋,6,60,2.6,北北西,112.5,0,1,,0,1018,0,1,5.6
2024/1/1 23:00,愛知,名古屋,5.6,63,2.9,北北西,112.5,0,1,,0,1018,0,1,5.7
2024/1/2 0:00,愛知,名古屋,5.6,63,2.1,北,90,0,1,,0,1017.9,0,1,5.7
2024/1/2 1:00,愛知,名古屋,5.8,62,2.7,北,90,0,1,,0,1017.7,0,1,5.7
2024/1/2 2:00,愛知,名古屋,5.8,62,2.5,北,90,0,1,,0,1018,0,1,5.7
2024/1/2 3:00,愛知,名古屋,5.8,65,1.5,北北西,112.5,0,1,10-,0,1017.8,0,1,6
2024/1/2 4:00,愛知,名古屋,5.7,64,1.4,北西,135,0,1,,0,1017.6,0,1,5.9
2024/1/2 5:00,愛知,名古屋,5.6,68,2.7,北,90,0,1,,0,1016.8,0,1,6.2
