timestamp,照度,温度（℃）,湿度,土壌湿度,ポンプ稼働,場所コード
2024/2/24 12:00,3,24.5,13.4,8.3,0,A-2
2024-02-24 12:00:00,3,25,13,8,0,A-2
2024/2/24 12:10,3,23.5,13.4,8.3,0,A-2
2024-02-24 12:10:00,3,24,13,8,0,A-2
2024/2/24 12:20,3,24.5,13.4,8.3,0,A-2
2024-02-24 12:20:00,3,25,13,8,0,A-2
2024/2/24 12:30,3,25.5,13.4,8.3,0,A-2
2024-02-24 12:30:00,3,26,13,8,0,A-2
2024/2/24 12:40,3,25.5,13.4,8.3,0,A-2
2024-02-24 12:40:00,3,26,13,8,0,A-2
2024/2/24 12:50,3,24.5,13.4,8.3,0,A-2
2024-02-24 12:50:00,3,25,13,8,0,A-2
2024/2/24 13:00,3,22.5,13.4,8.3,0,A-2
2024-02-24 13:00:00,3,23,13,8,0,A-2
2024/2/24 13:10,3,22.5,13.4,8.3,0,A-2
2024-02-24 13:10:00,3,23,13,8,0,A-2
2024/2/24 13:20,3,25.5,13.4,8.3,0,A-2
2024-02-24 13:20:00,3,26,13,8,0,A-2
2024/2/24 13:30,3,26.5,13.4,8.3,0,A-2
2024-02-24 13:30:00,3,27,13,8,0,A-2
2024/2/24 13:40,3,27.5,13.4,8.3,0,A-2
2024-02-24 13:40:00,3,28,13,8,0,A-2
2024/2/24 13:50,3,26.5,13.4,8.3,0,A-2
2024-02-24 13:50:00,3,27,13,8,0,A-2
2024/2/24 14:00,3,25.5,13.4,8.3,0,A-2
2024-02-24 14:00:00,3,26,13,8,0,A-2
2024/2/24 14:10,3,24.5,13.4,8.3,0,A-2
2024-02-24 14:10:00,3,25,13,8,0,A-2
2024/2/24 14:20,3,27.5,13.4,8.3,0,A-2
2024-02-24 14:20:00,3,28,13,8,0,A-2
2024/2/24 14:30,3,28.5,13.4,8.3,0,A-2
2024-02-24 14:30:00,3,29,13,8,0,A-2
2024/2/24 14:40,3,26.5,13.4,8.3,0,A-2
2024-02-24 14:40:00,3,27,13,8,0,A-2
2024/2/24 14:50,3,25.5,13.4,8.3,0,A-2
2024-02-24 14:50:00,3,26,13,8,0,A-2
2024/2/24 15:00,3,25.5,13.4,8.3,0,A-2
2024-02-24 15:00:00,3,26,13,8,0,A-2
2024/2/24 15:10,3,26.5,13.4,8.3,0,A-2
2024-02-24 15:10:00,3,27,13,8,0,A-2
2024/2/24 15:20,3,26.5,13.4,8.3,0,A-2
2024-02-24 15:20:00,3,27,13,8,0,A-2
2024/2/24 15:30,3,27.5,13.4,8.3,0,A-2
2024-02-24 15:30:00,3,28,13,8,0,A-2
2024/2/24 15:40,3,25.5,13.4,8.3,0,A-2
2024-02-24 15:40:00,3,26,13,8,0,A-2
2024/2/24 15:50,3,23.5,13.4,8.3,0,A-2
2024-02-24 15:50:00,3,24,13,8,0,A-2
2024/2/24 16:00,3,24.5,13.4,8.3,0,A-2
2024-02-24 16:00:00,3,25,13,8,0,A-2
2024/2/24 16:10,3,25.5,13.4,8.3,0,A-2
2024-02-24 16:10:00,3,26,13,8,0,A-2
2024/2/24 16:20,3,26.5,13.4,8.3,0,A-2
2024-02-24 16:20:00,3,27,13,8,0,A-2
2024/2/24 16:30,3,26.5,13.4,8.3,0,A-2
2024-02-24 16:30:00,3,27,13,8,0,A-2
2024/2/24 16:40,3,27.5,13.4,8.3,0,A-2
2024-02-24 16:40:00,3,28,13,8,0,A-2
2024/2/24 16:50,3,25.5,13.4,8.3,0,A-2
2024-02-24 16:50:00,3,26,13,8,0,A-2
timestamp,照度,温度（℃）,湿度,土壌湿度,ポンプ稼働,場所コード
2024/2/24 12:00,3,24.5,13.4,8.3,0,A-2
2024-02-24 12:00:00,3,25,13,8,0,A-2
2024/2/24 12:10,3,23.5,13.4,8.3,0,A-2
2024-02-24 12:10:00,3,24,13,8,0,A-2
2024/2/24 12:20,3,24.5,13.4,8.3,0,A-2
2024-02-24 12:20:00,3,25,13,8,0,A-2
2024/2/24 12:30,3,25.5,13.4,8.3,0,A-2
2024-02-24 12:30:00,3,26,13,8,0,A-2
2024/2/24 12:40,3,25.5,13.4,8.3,0,A-2
2024-02-24 12:40:00,3,26,13,8,0,A-2
2024/2/24 12:50,3,24.5,13.4,8.3,0,A-2
2024-02-24 12:50:00,3,25,13,8,0,A-2
2024/2/24 13:00,3,22.5,13.4,8.3,0,A-2
2024-02-24 13:00:00,3,23,13,8,0,A-2
2024/2/24 13:10,3,22.5,13.4,8.3,0,A-2
2024-02-24 13:10:00,3,23,13,8,0,A-2
2024/2/24 13:20,3,25.5,13.4,8.3,0,A-2
2024-02-24 13:20:00,3,26,13,8,0,A-2
2024/2/24 13:30,3,26.5,13.4,8.3,0,A-2
2024-02-24 13:30:00,3,27,13,8,0,A-2
2024/2/24 13:40,3,27.5,13.4,8.3,0,A-2
2024-02-24 13:40:00,3,28,13,8,0,A-2
2024/2/24 13:50,3,26.5,13.4,8.3,0,A-2
2024-02-24 13:50:00,3,27,13,8,0,A-2
2024/2/24 14:00,3,25.5,13.4,8.3,0,A-2
2024-02-24 14:00:00,3,26,13,8,0,A-2
2024/2/24 14:10,3,24.5,13.4,8.3,0,A-2
2024-02-24 14:10:00,3,25,13,8,0,A-2
2024/2/24 14:20,3,27.5,13.4,8.3,0,A-2
2024-02-24 14:20:00,3,28,13,8,0,A-2
2024/2/24 14:30,3,28.5,13.4,8.3,0,A-2
2024-02-24 14:30:00,3,29,13,8,0,A-2
2024/2/24 14:40,3,26.5,13.4,8.3,0,A-2
2024-02-24 14:40:00,3,27,13,8,0,A-2
2024/2/24 14:50,3,25.5,13.4,8.3,0,A-2
2024-02-24 14:50:00,3,26,13,8,0,A-2
2024/2/24 15:00,3,25.5,13.4,8.3,0,A-2
2024-02-24 15:00:00,3,26,13,8,0,A-2
2024/2/24 15:10,3,26.5,13.4,8.3,0,A-2
2024-02-24 15:10:00,3,27,13,8,0,A-2
